Emission Factor Title,Sector,Unit Type,Emission Factor,Source
Grass - Composted,Waste,kg/short ton,0.1543,EPA
Grass - Landfilled,Waste,kg/short ton,0.3086,EPA
Hard-copy Devices - Combusted,Waste,kg/short ton,2.116,EPA
Hard-copy Devices - Landfilled,Waste,kg/short ton,0.02205,EPA
Hard-copy Devices - Recycled,Waste,kg/short ton,0.01102,EPA
HDPE - Combusted,Waste,kg/short ton,3.086,EPA
HDPE - Landfilled,Waste,kg/short ton,0.02205,EPA
HDPE - Recycled,Waste,kg/short ton,0.2315,EPA
LDPE - Combusted,Waste,kg/short ton,3.086,EPA
LDPE - Landfilled,Waste,kg/short ton,0.02205,EPA
Leaves - Anaerobically Digested (Dry Digestate with Curing),Waste,kg/short ton,0.1323,EPA
Leaves - Combusted,Waste,kg/short ton,0.05512,EPA
Leaves - Composted,Waste,kg/short ton,0.1543,EPA
Leaves - Landfilled,Waste,kg/short ton,0.3086,EPA
LLDPE - Combusted,Waste,kg/short ton,3.086,EPA
LLDPE - Landfilled,Waste,kg/short ton,0.02205,EPA
Magazines/Third-class mail - Landfilled,Waste,kg/short ton,0.5071,EPA
Magazines/Third-class mail - Recycled,Waste,kg/short ton,0.02205,EPA
Magazines/Third-class mail - Combusted,Waste,kg/short ton,0.05512,EPA
Medium-density Fiberboard - Combusted,Waste,kg/short ton,0.05512,EPA
Medium-density Fiberboard - Landfilled,Waste,kg/short ton,0.07716,EPA
Medium-density Fiberboard - Recycled,Waste,kg/short ton,0.1653,EPA
Mixed Electronics - Combusted,Waste,kg/short ton,1.058,EPA
Mixed Electronics - Landfilled,Waste,kg/short ton,0.02205,EPA
Mixed Electronics - Recycled,Waste,kg/short ton,0.02205,EPA
Mixed Metals - Combusted,Waste,kg/short ton,0.01102,EPA
Mixed Metals - Landfilled,Waste,kg/short ton,0.02205,EPA
Mixed Metals - Recycled,Waste,kg/short ton,0.2535,EPA
Mixed MSW - Combusted,Waste,kg/short ton,0.474,EPA
Mixed MSW - Landfilled,Waste,kg/short ton,0.6393,EPA
Mixed Organics - Combusted,Waste,kg/short ton,0.05512,EPA
Mixed Organics - Composted,Waste,kg/short ton,0.1433,EPA
Mixed Organics - Landfilled,Waste,kg/short ton,0.5952,EPA
Mixed Paper (general) - Combusted,Waste,kg/short ton,0.05512,EPA
Mixed Paper (general) - Landfilled,Waste,kg/short ton,0.9811,EPA
Mixed Paper (general) - Recycled,Waste,kg/short ton,0.07716,EPA
Mixed Paper (primarily from offices) - Combusted,Waste,kg/short ton,0.05512,EPA
Mixed Paper (primarily from offices) - Landfilled,Waste,kg/short ton,0.9259,EPA
Mixed Paper (primarily from offices) - Recycled,Waste,kg/short ton,0.03307,EPA
Mixed Paper (primarily residential) - Combusted,Waste,kg/short ton,0.05512,EPA
Mixed Paper (primarily residential) - Landfilled,Waste,kg/short ton,0.948,EPA
Mixed Paper (primarily residential) - Recycled,Waste,kg/short ton,0.07716,EPA
Mixed Plastics - Combusted,Waste,kg/short ton,2.579,EPA
Mixed Plastics - Landfilled,Waste,kg/short ton,0.02205,EPA
Mixed Plastics - Recycled,Waste,kg/short ton,0.2425,EPA
Mixed Recyclables - Combusted,Waste,kg/short ton,0.1213,EPA
Mixed Recyclables - Landfilled,Waste,kg/short ton,0.8267,EPA
Mixed Recyclables - Recycled,Waste,kg/short ton,0.09921,EPA
Waste management and remediation,Waste,kg/usd,1.318,EPA
Newspaper - Combusted,Waste,kg/short ton,0.05512,EPA
Newspaper - Landfilled,Waste,kg/short ton,0.4299,EPA
Newspaper - Recycled,Waste,kg/short ton,0.02205,EPA
Office Paper - Combusted,Waste,kg/short ton,0.05512,EPA
Office Paper - Landfilled,Waste,kg/short ton,1.554,EPA
Office Paper - Recycled,Waste,kg/short ton,0.02205,EPA
PET - Combusted,Waste,kg/short ton,2.26,EPA
PET - Landfilled,Waste,kg/short ton,0.02205,EPA
PET - Recycled,Waste,kg/short ton,0.2535,EPA
Phonebooks - Combusted,Waste,kg/short ton,0.05512,EPA
Phonebooks - Landfilled,Waste,kg/short ton,0.4299,EPA
Phonebooks - Recycled,Waste,kg/short ton,0.04409,EPA
PLA - Combusted,Waste,kg/short ton,0.01102,EPA
PLA - Composted,Waste,kg/short ton,0.1433,EPA
PLA - Landfilled,Waste,kg/short ton,0.02205,EPA
Portable Electronic Devices - Combusted,Waste,kg/short ton,0.9811,EPA
Portable Electronic Devices - Landfilled,Waste,kg/short ton,0.02205,EPA
Portable Electronic Devices - Recycled,Waste,kg/short ton,0.02205,EPA
Poultry - Anaerobically Digested (Dry Digestate with Curing),Waste,kg/short ton,0.1543,EPA
Poultry - Anaerobically Digested (Wet Digestate with Curing),Waste,kg/short ton,0.1213,EPA
Poultry - Combusted,Waste,kg/short ton,0.05512,EPA
Poultry - Composted,Waste,kg/short ton,0.1213,EPA
Poultry - Landfilled,Waste,kg/short ton,0.8047,EPA
PP - Combusted,Waste,kg/short ton,3.086,EPA
PP - Landfilled,Waste,kg/short ton,0.02205,EPA
PP - Recycled,Waste,kg/short ton,0.2205,EPA
PS - Combusted,Waste,kg/short ton,3.329,EPA
PS - Landfilled,Waste,kg/short ton,0.02205,EPA
PVC - Combusted,Waste,kg/short ton,1.389,EPA
PVC - Landfilled,Waste,kg/short ton,0.02205,EPA
Steel Cans - Combusted,Waste,kg/short ton,0.01102,EPA
Steel Cans - Landfilled,Waste,kg/short ton,0.02205,EPA
Steel Cans - Recycled,Waste,kg/short ton,0.3527,EPA
Structural Steel - Landfilled,Waste,kg/short ton,0.02205,EPA
Structural Steel - Recycled,Waste,kg/short ton,0.04409,EPA
Textbooks - Combusted,Waste,kg/short ton,0.05512,EPA
Textbooks - Landfilled,Waste,kg/short ton,1.554,EPA
Textbooks - Recycled,Waste,kg/short ton,0.04409,EPA
Tires - Combusted,Waste,kg/short ton,2.436,EPA
Tires - Landfilled,Waste,kg/short ton,0.02205,EPA
Tires - Recycled,Waste,kg/short ton,0.1102,EPA
Vinyl Flooring - Combusted,Waste,kg/short ton,0.3197,EPA
Vinyl Flooring - Landfilled,Waste,kg/short ton,0.02205,EPA
Wood Flooring - Combusted,Waste,kg/short ton,0.08818,EPA
Wood Flooring - Landfilled,Waste,kg/short ton,0.1984,EPA
Yard Trimmings - Anaerobically Digested (Dry Digestate with Curing),Waste,kg/short ton,0.1213,EPA
Yard Trimmings - Combusted,Waste,kg/short ton,0.05512,EPA
Yard Trimmings - Composted,Waste,kg/short ton,0.1543,EPA
Yard Trimmings - Landfilled,Waste,kg/short ton,0.3968,EPA
All other miscellaneous waste management services,Waste,kg/usd,0.988,EPA
Hazardous waste collection,Waste,kg/usd,0.988,EPA
Hazardous waste treatment and disposal,Waste,kg/usd,0.988,EPA
Materials recovery facilities,Waste,kg/usd,0.988,EPA
Other nonhazardous waste treatment and disposal,Waste,kg/usd,0.988,EPA
Other waste collection,Waste,kg/usd,0.988,EPA
Remediation services,Waste,kg/usd,0.988,EPA
Septic tank and related services,Waste,kg/usd,0.988,EPA
Solid waste collection,Waste,kg/usd,0.988,EPA
Solid waste combustors and incinerators,Waste,kg/usd,0.988,EPA
Solid waste landfill,Waste,kg/usd,0.988,EPA
Sewage treatment facilities,Water,kg/usd,0.578,EPA
Steam and air-conditioning supply,Water,kg/usd,0.578,EPA
Drinking water and wastewater treatment,Water,kg/usd,0.543,EPA
Water supply and irrigation systems,Water,kg/usd,0.578,EPA
Automobile and other motor vehicle merchant wholesalers,Organizational Activities,kg/usd,0.115,EPA
Beer and ale merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Book/periodical and newspaper merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Brick/stone and related construction material merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Business to business electronic markets,Organizational Activities,kg/usd,0.092,EPA
Coal and other mineral and ore merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Computer and computer peripheral equipment and software merchant wholesalers,Organizational Activities,kg/usd,0.074,EPA
Confectionery merchant wholesalers,Organizational Activities,kg/usd,0.159,EPA
Construction and mining (except oil well) machinery and equipment merchant wholesalers,Organizational Activities,kg/usd,0.115,EPA
Customs duties,Organizational Activities,kg/usd,0.0,EPA
Dairy product (except dried or canned) merchant wholesalers,Organizational Activities,kg/usd,0.159,EPA
Drugs and druggists’ sundries,Organizational Activities,kg/usd,0.095,EPA
Drugs and druggists' sundries merchant wholesalers,Organizational Activities,kg/usd,0.095,EPA
Electrical apparatus and equipment/wiring supplies and related equipment merchant wholesalers,Organizational Activities,kg/usd,0.083,EPA
Farm and garden machinery and equipment merchant wholesalers,Organizational Activities,kg/usd,0.115,EPA
Farm supplies merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Fish and seafood merchant wholesalers,Organizational Activities,kg/usd,0.159,EPA
Flower/nursery stock and florists' supplies merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Footwear merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Fresh fruit and vegetable merchant wholesalers,Organizational Activities,kg/usd,0.159,EPA
Furniture merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
General line grocery merchant wholesalers,Organizational Activities,kg/usd,0.159,EPA
Grain and field bean merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Grocery and related product wholesalers,Organizational Activities,kg/usd,0.266,EPA
Hardware merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Home furnishing merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Household appliances/electric housewares and consumer electronics merchant wholesalers,Organizational Activities,kg/usd,0.083,EPA
Household appliances and electrical and electronic goods,Organizational Activities,kg/usd,0.168,EPA
Industrial and personal service paper merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Industrial machinery and equipment merchant wholesalers,Organizational Activities,kg/usd,0.115,EPA
Industrial supplies merchant wholesalers,Organizational Activities,kg/usd,0.115,EPA
Jewelry/watch/precious stone and precious metal merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Livestock merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Lumber/plywood/millwork and wood panel merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Machinery / equipment and supplies,Organizational Activities,kg/usd,0.128,EPA
Meat and meat product merchant wholesalers,Organizational Activities,kg/usd,0.159,EPA
Medical / dental and hospital equipment and supplies merchant wholesalers,Organizational Activities,kg/usd,0.074,EPA
Men's and boys' clothing and furnishings merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Metal service centers and other metal merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Motor vehicle and motor vehicle parts and supplies,Organizational Activities,kg/usd,0.182,EPA
Motor vehicle parts (used) merchant wholesalers,Organizational Activities,kg/usd,0.115,EPA
Motor vehicle supplies and new parts merchant wholesalers,Organizational Activities,kg/usd,0.115,EPA
Office equipment merchant wholesalers,Organizational Activities,kg/usd,0.074,EPA
Ophthalmic goods merchant wholesalers,Organizational Activities,kg/usd,0.074,EPA
Other chemical and allied products merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Other commercial equipment merchant wholesalers,Organizational Activities,kg/usd,0.074,EPA
Other construction material merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Other durable goods merchant wholesalers,Organizational Activities,kg/usd,0.204,EPA
Other electronic parts and equipment merchant wholesalers,Organizational Activities,kg/usd,0.083,EPA
Other farm product raw material merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Other grocery and related products merchant wholesalers,Organizational Activities,kg/usd,0.159,EPA
Other miscellaneous durable goods merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Other miscellaneous nondurable goods merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Other nondurable goods merchant wholesalers,Organizational Activities,kg/usd,0.195,EPA
Other professional equipment and supplies merchant wholesalers,Organizational Activities,kg/usd,0.074,EPA
Packaged frozen food merchant wholesalers,Organizational Activities,kg/usd,0.159,EPA
Paint/varnish and supplies merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Petroleum bulk stations and terminals,Organizational Activities,kg/usd,0.102,EPA
Petroleum and petroleum products merchant wholesalers (except bulk stations and terminals),Organizational Activities,kg/usd,0.102,EPA
Photographic equipment and supplies merchant wholesalers,Organizational Activities,kg/usd,0.074,EPA
Piece goods/notions and other dry goods merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Plastics materials and basic forms and shapes merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Plumbing and heating equipment and supplies (hydronics) merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Poultry and poultry product merchant wholesalers,Organizational Activities,kg/usd,0.159,EPA
Printing and writing paper merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Professional and commercial equipment and supplies,Organizational Activities,kg/usd,0.092,EPA
Recyclable material merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Refrigeration equipment and supplies merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Roofing/siding and insulation material merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Service establishment equipment and supplies merchant wholesalers,Organizational Activities,kg/usd,0.115,EPA
Sporting and recreational goods and supplies merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Tire and tube merchant wholesalers,Organizational Activities,kg/usd,0.115,EPA
Tobacco and tobacco product merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Toy and hobby goods and supplies merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Transportation equipment and supplies (except motor vehicle) merchant wholesalers,Organizational Activities,kg/usd,0.115,EPA
Warm air heating and air-conditioning equipment and supplies merchant wholesalers,Organizational Activities,kg/usd,0.108,EPA
Wholesale electronic markets and agents and brokers,Organizational Activities,kg/usd,0.057,EPA
Wholesale trade agents and brokers,Organizational Activities,kg/usd,0.092,EPA
Wine and distilled alcoholic beverage merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Women's/children's and infants' clothing and accessories merchant wholesalers,Organizational Activities,kg/usd,0.144,EPA
Battery EV HGV (10 - 12t) post-2015,Transport,kg/km,0.07443,MfE
Battery EV HGV (12 - 15t) post-2015,Transport,kg/km,0.08847,MfE
Battery EV HGV (5 - 7.5t) post-2015,Transport,kg/km,0.04748,MfE
Battery EV HGV (7.5 - 10t) post-2015,Transport,kg/km,0.06532,MfE
HGV diesel (<7.5t) pre-2010,Transport,kg/km,0.4757,MfE
Diesel HGV (10 - 12t) post-2015,Transport,kg/km,0.7045,MfE
Diesel HGV (12 -15t) post-2015,Transport,kg/km,0.8374,MfE
Diesel HGV (15 - 20t) post-2015,Transport,kg/km,0.9862,MfE
Diesel HGV (20 - 25t) post-2015,Transport,kg/km,1.257,MfE
Diesel HGV (25t - 30t) post-2015,Transport,kg/km,1.375,MfE
Diesel HGV (>30t) post-2015,Transport,kg/km,1.492,MfE
Diesel HGV (5 - 7.5t) post-2015,Transport,kg/km,0.4494,MfE
Diesel HGV (7.5 - 10t) post-2015,Transport,kg/km,0.6182,MfE
Diesel HGV (<5t) post-2015,Transport,kg/km,0.3944,MfE
Diesel HGV (average) post-2015,Transport,kg/km,0.4801,MfE
HGV diesel hybrid (<7.5t) pre-2010,Transport,kg/km,0.3834,MfE
Diesel hybrid HGV (10t - 12t) post-2015,Transport,kg/km,0.5623,MfE
Diesel hybrid HGV (12t - 15t) post-2015,Transport,kg/km,0.6684,MfE
Diesel hybrid HGV (15t - 20t) post-2015,Transport,kg/km,0.8964,MfE
Diesel hybrid HGV (20t - 25t) post-2015,Transport,kg/km,1.142,MfE
Diesel hybrid HGV (25t - 30t) post-2015,Transport,kg/km,1.292,MfE
Diesel hybrid HGV (>30t) post-2015,Transport,kg/km,1.403,MfE
Diesel hybrid HGV (5t - 7.5t) post-2015,Transport,kg/km,0.3587,MfE
Diesel hybrid HGV (7.5t - 10t) post-2015,Transport,kg/km,0.4935,MfE
Diesel hybrid HGV (<5t) post-2015,Transport,kg/km,0.3148,MfE
Diesel hybrid HGV (average) post-2015,Transport,kg/km,0.387,MfE
LCV - Electric vehicle (1350-1600cc) post-2015,Transport,kg/km,0.0182,MfE
LCV - Electric vehicle (1600-2000cc) post-2015,Transport,kg/km,0.0206,MfE
LCV - Electric vehicle (2000-3000cc) post-2015,Transport,kg/km,0.02537,MfE
LCV - Electric vehicle (>3000cc) post-2015,Transport,kg/km,0.02965,MfE
Battery EV LCV (large) post-2015,Transport,kg/km,0.03108,MfE
LCV - Electric vehicle (<1350cc) post-2015,Transport,kg/km,0.01695,MfE
Battery EV LCV (medium) post-2015,Transport,kg/km,0.02523,MfE
Battery EV LCV (small) post-2015,Transport,kg/km,0.0223,MfE
Battery EV LCV (very large) post-2015,Transport,kg/km,0.03633,MfE
Battery EV LCV (very small) post-2015,Transport,kg/km,0.02077,MfE
Diesel LCV (1350-1600cc) post-2015,Transport,kg/km,0.1829,MfE
LCV - Diesel (1350-1600cc) post-2015,Transport,kg/km,0.1829,MfE
Diesel LCV (1600-2000cc) post-2015,Transport,kg/km,0.2435,MfE
LCV - Diesel (1600-2000cc) post-2015,Transport,kg/km,0.2435,MfE
Diesel LCV (2000-3000cc) post-2015,Transport,kg/km,0.2611,MfE
LCV - Diesel (2000-3000cc) post-2015,Transport,kg/km,0.2611,MfE
Diesel LCV (>3000cc) post-2015,Transport,kg/km,0.2623,MfE
LCV - Diesel (>3000cc) post-2015,Transport,kg/km,0.2644,MfE
Diesel LCV (<1350cc) post-2015,Transport,kg/km,0.1901,MfE
LCV - Diesel (<1350cc) post-2015,Transport,kg/km,0.1901,MfE
LCV - Diesel - default factor,Transport,kg/km,0.3052,MfE
Diesel LCV (average) post-2015,Transport,kg/km,0.296,MfE
Diesel hybrid LCV (1350-1600cc) post-2015,Transport,kg/km,0.1645,MfE
LCV - Diesel hybrid (1350-1600cc) post-2015,Transport,kg/km,0.1645,MfE
Diesel hybrid LCV (1600-2000cc) post-2015,Transport,kg/km,0.219,MfE
LCV - Diesel hybrid (1600-2000cc) post-2015,Transport,kg/km,0.219,MfE
Diesel hybrid LCV (2000-3000cc) post-2015,Transport,kg/km,0.2348,MfE
LCV - Diesel hybrid (2000-3000cc) post-2015,Transport,kg/km,0.2348,MfE
Diesel hybrid LCV (>3000cc) post-2015,Transport,kg/km,0.2359,MfE
LCV - Diesel hybrid (>3000cc) post-2015,Transport,kg/km,0.2378,MfE
Diesel hybrid LCV (<1350cc) post-2015,Transport,kg/km,0.171,MfE
LCV - Diesel hybrid (<1350cc) post-2015,Transport,kg/km,0.171,MfE
LCV - Diesel hybrid - default factor,Transport,kg/km,0.2736,MfE
Diesel hybrid LCV (average) post-2015,Transport,kg/km,0.2654,MfE
Petrol LCV (1350-1600cc) post-2015,Transport,kg/km,0.1971,MfE
LCV - Petrol (1350-1600cc) post-2015,Transport,kg/km,0.1971,MfE
Petrol LCV (1600-2000cc) post-2015,Transport,kg/km,0.2659,MfE
LCV - Petrol (1600-2000cc) post-2015,Transport,kg/km,0.2659,MfE
Petrol LCV (2000-3000cc) post-2015,Transport,kg/km,0.2813,MfE
LCV - Petrol (2000-3000cc) post-2015,Transport,kg/km,0.2813,MfE
Petrol LCV (>3000cc) post-2015,Transport,kg/km,0.3221,MfE
LCV - Petrol (>3000cc) post-2015,Transport,kg/km,0.3212,MfE
Petrol LCV (<1350cc) post-2015,Transport,kg/km,0.1835,MfE
LCV - Petrol (<1350cc) post-2015,Transport,kg/km,0.1835,MfE
LCV - Petrol - default factor,Transport,kg/km,0.326,MfE
Petrol LCV (average) post-2015,Transport,kg/km,0.3167,MfE
Petrol hybrid LCV (1350-1600cc) post-2015,Transport,kg/km,0.1547,MfE
LCV - Petrol hybrid (1350-1600cc) post-2015,Transport,kg/km,0.1547,MfE
Petrol hybrid LCV (1600-2000cc) post-2015,Transport,kg/km,0.2088,MfE
LCV - Petrol hybrid (1600-2000cc) post-2015,Transport,kg/km,0.2088,MfE
Petrol hybrid LCV (2000-3000cc) post-2015,Transport,kg/km,0.2208,MfE
LCV - Petrol hybrid (2000-3000cc) post-2015,Transport,kg/km,0.2208,MfE
Petrol hybrid LCV (>3000cc) post-2015,Transport,kg/km,0.2518,MfE
LCV - Petrol hybrid (>3000cc) post-2015,Transport,kg/km,0.2522,MfE
Petrol hybrid LCV (<1350cc) post-2015,Transport,kg/km,0.1441,MfE
LCV - Petrol hybrid (<1350cc) post-2015,Transport,kg/km,0.1441,MfE
LCV - Petrol hybrid - default factor,Transport,kg/km,0.2574,MfE
Petrol hybrid LCV (average) post-2015,Transport,kg/km,0.25,MfE
Diesel PHEV LCV (1350-1600cc) - electricity consumption post-2015,Transport,kg/km,0.0861,MfE
Diesel PHEV LCV (1350-1600cc) - fuel combustion post-2015,Transport,kg/km,0.0861,MfE
LCV - PHEV (Diesel) - Diesel consumption (1350-1600cc) post-2015,Transport,kg/km,0.0861,MfE
LCV - PHEV (Diesel) - Electricity consumption (1350-1600cc) post-2015,Transport,kg/km,0.0861,MfE
Diesel PHEV LCV (1600-2000cc) - electricity consumption post-2015,Transport,kg/km,0.1146,MfE
Diesel PHEV LCV (1600-2000cc) - fuel combustion post-2015,Transport,kg/km,0.1146,MfE
LCV - PHEV (Diesel) - Diesel consumption (1600-2000cc) post-2015,Transport,kg/km,0.1146,MfE
LCV - PHEV (Diesel) - Electricity consumption (1600-2000cc) post-2015,Transport,kg/km,0.1146,MfE
Diesel PHEV LCV (2000-3000cc) - electricity consumption post-2015,Transport,kg/km,0.1229,MfE
Diesel PHEV LCV (2000-3000cc) - fuel combustion post-2015,Transport,kg/km,0.1229,MfE
LCV - PHEV (Diesel) - Diesel consumption (2000-3000cc) post-2015,Transport,kg/km,0.1229,MfE
LCV - PHEV (Diesel) - Electricity consumption (2000-3000cc) post-2015,Transport,kg/km,0.1229,MfE
Diesel PHEV LCV (>3000cc) - electricity consumption post-2015,Transport,kg/km,0.1235,MfE
Diesel PHEV LCV (>3000cc) - fuel combustion post-2015,Transport,kg/km,0.1235,MfE
LCV - PHEV (Diesel) - Diesel consumption (>3000cc) post-2015,Transport,kg/km,0.1244,MfE
LCV - PHEV (Diesel) - Electricity consumption (>3000cc) post-2015,Transport,kg/km,0.1244,MfE
Diesel PHEV LCV (<1350cc) - electricity consumption post-2015,Transport,kg/km,0.08947,MfE
Diesel PHEV LCV (<1350cc) - fuel combustion post-2015,Transport,kg/km,0.08947,MfE
LCV - PHEV (Diesel) - Diesel consumption (<1350cc) post-2015,Transport,kg/km,0.08947,MfE
LCV - PHEV (Diesel) - Electricity consumption (<1350cc) post-2015,Transport,kg/km,0.08947,MfE
Petrol PHEV LCV (1350-1600cc)  - fuel combustion post-2015,Transport,kg/km,0.08097,MfE
Petrol PHEV LCV (1350-1600cc) - electricity consumption post-2015,Transport,kg/km,0.08097,MfE
LCV - PHEV (Petrol) - Electricity consumption (1350-1600cc) post-2015,Transport,kg/km,0.08097,MfE
LCV - PHEV (Petrol) - Petrol consumption (1350-1600cc) post-2015,Transport,kg/km,0.08097,MfE
Petrol PHEV LCV (1600-2000cc) - electricity consumption post-2015,Transport,kg/km,0.1093,MfE
Petrol PHEV LCV (1600-2000cc) - fuel combustion post-2015,Transport,kg/km,0.1093,MfE
LCV - PHEV (Petrol) - Electricity consumption (1600-2000cc) post-2015,Transport,kg/km,0.1093,MfE
LCV - PHEV (Petrol) - Petrol consumption (1600-2000cc) post-2015,Transport,kg/km,0.1093,MfE
Petrol PHEV LCV (2000-3000cc) - electricity consumption post-2015,Transport,kg/km,0.1156,MfE
Petrol PHEV LCV (2000-3000cc) - fuel combustion post-2015,Transport,kg/km,0.1156,MfE
LCV - PHEV (Petrol) - Electricity consumption (2000-3000cc) post-2015,Transport,kg/km,0.1156,MfE
LCV - PHEV (Petrol) - Petrol consumption (2000-3000cc) post-2015,Transport,kg/km,0.1156,MfE
Petrol PHEV LCV (>3000cc) - electricity consumption post-2015,Transport,kg/km,0.1318,MfE
Petrol PHEV LCV (>3000cc) - fuel combustion post-2015,Transport,kg/km,0.1318,MfE
LCV - PHEV (Petrol) - Electricity consumption (>3000cc) post-2015,Transport,kg/km,0.132,MfE
LCV - PHEV (Petrol) - Petrol consumption (>3000cc) post-2015,Transport,kg/km,0.132,MfE
Petrol PHEV LCV (<1350cc) - electricity consumption post-2015,Transport,kg/km,0.07541,MfE
Petrol PHEV LCV (<1350cc) - fuel combustion post-2015,Transport,kg/km,0.07541,MfE
LCV - PHEV (Petrol) - Electricity consumption (<1350cc) post-2015,Transport,kg/km,0.07541,MfE
LCV - PHEV (Petrol) - Petrol consumption (<1350cc) post-2015,Transport,kg/km,0.07541,MfE
Freight flights - Domestic - without RF effect,Transport,kg/tonne-km,0.00276,MfE
Freight flights - Domestic - with RF effect,Transport,kg/tonne-km,0.004673,MfE
Freight flights - Long haul - without RF effect,Transport,kg/tonne-km,0.0006487,MfE
Freight flights - Long haul - with RF effect,Transport,kg/tonne-km,0.001099,MfE
Freight flights - Short haul - without RF effect,Transport,kg/tonne-km,0.0009847,MfE
Freight flights - Short haul - with RF effect,Transport,kg/tonne-km,0.001668,MfE
Rail freight train KiwiRail,Transport,kg/tonne-km,2.801e-05,MfE
Rail Freight - MEG 2022,Transport,kg/tonne-km,2.698e-05,MfE
Rail Freight,Transport,kg/tonne-km,2.762e-05,MfE
Road freight truck average value,Transport,kg/tonne-km,0.000135,MfE
Long-haul air freight road freight heavy truck average value,Transport,kg/tonne-km,0.000105,MfE
Urban delivery road freight heavy truck average value,Transport,kg/tonne-km,0.00039,MfE
Long-haul heavy truck,Transport,kg/tonne-km,0.000105,MfE
All trucks,Transport,kg/tonne-km,0.000135,MfE
Urban delivery heavy truck,Transport,kg/tonne-km,0.00039,MfE
Aviation fuel - avgas,Energy,kg/l,2.331,MfE
Aviation gas - transport,Energy,kg/l,2.331,MfE
Aviation fuel - kerosene - transport,Energy,kg/GJ,2.597,MfE
Coal - default - commercial,Energy,kg/kg,2.107,MfE
Coal - default - residential,Energy,kg/kg,2.905,MfE
Coal - default - industrial,Energy,kg/kg,2.399,MfE
Bituminous coal - commercial,Energy,kg/kg,2.656,MfE
Bituminous coal - residential,Energy,kg/kg,2.885,MfE
Bituminous coal - industrial,Energy,kg/kg,2.656,MfE
Lignite coal - commercial,Energy,kg/kg,1.43,MfE
Lignite coal - residential,Energy,kg/kg,1.548,MfE
Lignite coal - industrial,Energy,kg/kg,1.43,MfE
Sub-bituminous coal - commercial,Energy,kg/kg,2.005,MfE
Sub-bituminous coal - residential,Energy,kg/kg,2.172,MfE
Sub-bituminous coal - industrial,Energy,kg/kg,2.005,MfE
Diesel - commercial,Energy,kg/l,2.678,MfE
Diesel - industrial,Energy,kg/l,2.671,MfE
Diesel - transport,Energy,kg/l,2.717,MfE
Diesel - stationary industrial use,Energy,kg/l,2.71,MfE
Diesel - 20% biodiesel blend,Energy,kg/l,2.153,MfE
Diesel - 5% biodiesel blend,Energy,kg/l,2.546,MfE
Gasoline - 10% bioethanol blend,Energy,kg/l,2.172,MfE
Gasoline - 3% bioethanol blend,Energy,kg/l,2.303,MfE
Heavy fuel oil - commercial,Energy,kg/l,3.054,MfE
Heavy fuel oil - industrial,Energy,kg/l,3.046,MfE
Heavy fuel oil - transport,Energy,kg/l,3.016,MfE
Light fuel oil - commercial,Energy,kg/l,2.971,MfE
Light fuel oil - industrial,Energy,kg/l,2.963,MfE
Light fuel oil - transport,Energy,kg/l,2.982,MfE
Liquefied petroleum gas LPG - commercial,Energy,kg/kg,2.972,MfE
Liquefied petroleum gas LPG - industrial,Energy,kg/kg,2.966,MfE
Liquefied petroleum gas LPG - transport,Energy,kg/l,1.611,MfE
Petrol - transport,Energy,kg/l,2.38,MfE
Regular petrol - transport,Energy,kg/l,2.38,MfE
Premium petrol - transport,Energy,kg/l,2.457,MfE
